nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
 7380;B&B De Postoari Terschelling;Dorpsstraat 25, 8896 JA Hoorn, Terschelling Nederland;8896 JA;Hoorn, Terschelling;  4;gastvrij en comfortabel;Spontane, hartelijke en persoonlijke ontvangst, uitstekende prijs/kwaliteit verhouding met inbegrepen uitstekend  3 gangen menu. Zeer genereus ontbijt. Comfortabele bedden en fraaie badkamer. Uitstekende fietsen met versnellingen voor schappelijke prijs te huur.  Bij aankomst.;5;2013
 2427;Villa Envie;Harspit 23, 8493 KB Terherne Nederland;8493 KB;Terherne;  4;Even lekker onthaasten, boost voor jou & je partner :);We zijn helemaal tot rust gekomen na een heerlijk weekend bij Villa Envie.  Vaak zijn we te druk om te genieten maar dit weekend zorgde ervoor dat we ons konden ontspannen en mijn man en ik twee daagjes quality time hadden!  Het warme welkom door de familie maakte dat we ons.;5;2014
 1293;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Super Sneek;3 nachten bij vd Valk Sneek, inclusief ontbijt. Geboekt via de dinsdagdeal van v.d. Valk.  Schitterend hotel met een fijne bediening. Behulpzaam, vriendelijk, meedenkend.  Eten: niets op aan te merken. Schone kamers en dagelijks schone handdoeken.;5;2018
 6231;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Toe aan vernieuwing;"Prima hotel, maar de kamers mogen wel een make-over krijgen; versleten vloeren en meubels. De inrichting is niet meer van deze tijd en erg gedateerd. Verder prima service en bediening in het hotel. Genoten van de prachtige omgeving.";2;2019
 2284;Hotel Gast Inn;Sylspaed 75, 8711 EC Workum Nederland;8711 EC;Workum; 13;een heerlijk lang weekeinde aan de rand van de haven;Workum staat 1x per jaar bol van de mensen en de zeilen voor het traditionele vissen/ strontrace/beurtvaren. Wij hadden dit hotel uitgezocht als uitvalsbasis. Een super vriendelijke bediening, een huiselijke en knusse inrichting. Een perfecte kamer van alle gemakken voorzien..;5;2015
 5855;Hotel Graaf Bernstorff;Reeweg 1, 9166 PW, Schiermonnikoog Nederland;9166 PW;NA; 18;De plaats en te ontspannen in uw batterijen op;constante kwaliteit te handhaven vanaf 1996 is een prestatie. Het uitzicht vanuit onze ruime kamer is op Hotel van der Werff en één van de douchestangen die leidt tot de duinen en het strand. Graaf Bernstorff heeft een warme sfeer, geweldige bedienend personeel, goed menu en een.;5;2016
 9944;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;uitstekend hotel, schoon, goed onderhouden;We boekten en kregen een kamer met balkon met uitzicht op de jachthaven en de zee. de kamer was goed onderhouden en schoon. de badkamer had een bad - bad en aparte douche.  Ontbijtbuffet bood veel keuzes. 'S Avonds was het restaurant bijna elke avond leeg, mogelijk vanwege de.;5;2019
 2335;Vlierijck;Willem De Vlaminghweg 2, 8899 AV, Vlieland Nederland;8899 AV;NA; 39;Ontspannen verblijf, prima locatie, goed appartement;Goede ruime appartementen met keuken. De ligging was uitstekend, je loopt de boot af en je bent er. Verder is alles op loopafstand, zoals restaurantjes, fietsverhuur, etc. Staat garant voor een ontspannen verblijf.;5;2016
 1873;Hotel Zeezicht Vlieland;Havenweg 1, 8899 BB, Vlieland Nederland;8899 BB;NA; 41;Erg mooi hotel;Mooi hotel voor een verblijf van een paar dagen op vlieland  Erg mooie kamers vooral in het nieuwe gedeelte . Wij kregen een update naar kamer 005 , in een woord geweldig. Ook het ontbijt is gewoon prima verzorgd. kortom gewoon doen !!!;4;2017
 5314;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Behulpzaam en vriendelijk;Al 2 keer heb ik in hotel overnacht. het is wel even lopen naar de kamers, maar er is altijd wel iemand van hotel die aanbied op mee te lopen. De lobby en het restaurant geven echt een luxe sfeer. Het Friese ontbijt is een aanrader als je eens wat anders wilt!;5;2014
12816;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;Een goed hotel met mooi uitzicht;Het hotel heeft een mooi uitzicht op het ijselmeer. De kamer had alle beschreven faciliteiten en zeer netjes.  Het restaurant van het hotel is ook heel netjes en serveert goede kwaliteit.   Het hele hotel is zeker aan te raden;5;2016
 9956;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;2 daagse inclusief fietshuur en 1 x 3 gangen diner;We hebben n goede ontvangst gehad in WESTCORD Schylge. grote kamers en lekker balkon  mooie sauna. Mooi terras met uitzicht op de Waddenzee Wel enkele opmerkingen en tips:er kwam een aparte doordringende  geur uit de lakens of uit de bedtopper. Deze bleef zwaar hangen, ondanks.;4;2019
11327;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Uitje;Het hotel is prima en erg behulpzaam en vriendelijk personeel. Omdat ik moeilijk loop was het wel een nadeel dat er geen lift was die trappen lopen was een groot nadeel. Een volgende keer kan ik misschien wel aangeven dat ik beneden moet slapen.;4;2017
12510;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Ontspannen verblijf;Prima Hotel, gaan we volgende keer weer naartoe.  Prima service en vriendelijk personeel. Rustige ligging dicht bij de snelweg.  Gemoedelijke sfeer. Kamers mooi groot met prima sanitair. Voldoende parkeergelegenheid voor de auto;4;2017
 2450;Harbour Club Terherne;Buorren 69, 8493 LD Terherne Nederland;8493 LD;Terherne; 10;Prachtige lokatie, vriendelijke bediening, je voelt je thuis.;Vlotte en heel vriendelijke bediening en heerlijke lunch gehad. Kom zeker nog 'n keer terug voor het diner. Zowel binnen als buiten heb je prachtige zitplaatsen. Gratis en veilig parkeren naast hotel-restaurant.;5;2017
13228;Bastion Hotel Leeuwarden;Legedyk 6, 8935 DG Leeuwarden Nederland;8935 DG;Leeuwarden; 40;Niet tevreden.;Vijf van vier keer sliep in dit hotel omdat het sluit naar mijn werk. Nogmaals, ik was geschokt, omdat de kamer naast de persoonlijke kamers, naast de trap. Ik kon niet slapen, het was te luidruchtig zijn. De receptie niet wilde dit probleem oplossen wanneer ik vroeg de andere.;2;2016
 8265;Klein Genot;Wijde Noorderhorne 2, 8601 EB Sneek Nederland;8601 EB;Sneek;NA;Stugge ontvangst;Ik had een parkeerplaats geboekt maar deze was er niet meer. Als alternatief een parkeerkaart gekregen maar deze is tot de volg ochtend 9.00 geldig. Wordt wel haasten als je ontbijt geboekt hebt. Na ontvangst sleutel wordt er alleen gezegd bovenste verdieping, jammer niet even.;3;2016
 4631;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Heerlijke vakantie;Een suite met zeezicht, mooie accommodatie, geadviseerd door mw. Ellen Rikken, omdat alle superieur kamers zeezicht niet voor 5 nachten beschikbaar waren. Prima keuze, schone kamer groot balkon, kitchenette, in een woord geweldig!;5;2019
   48;Hotel Restaurant de Vrouwe van Stavoren;Havenweg 1, 8715 EM Stavoren Nederland;8715 EM;Stavoren; 20;prima lokatie voor een bezoek aan zuid west friesland;hotel ligt aan de haven. heeft een terras met uitzicht op het beeld van de vrouwe van Stavoren. is een ouder hotel dat steeds veder gerenoveerd wordt. jammer van de plasticserre aan de voorzijde, maar ja is een relict uit het verleden. er zijn nu nieuwe wijnvaten waar je kunt.;4;2017
10047;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Fantastisch hotel op super plek;Super hotel, rustig en op korte afstand van het levendige West. Fantastisch uitzicht over de Waddenzee. Mooi terras en serre.Erg vriendelijk en behulpzaam personeel. Voor bagagevervoer wordt gratis gezorgd.Ontbijt was prima!;5;2019
 9929;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Leuk hotel op goede locatie;Wij verbleven hier 1 nacht  met Pinksteren 2013, bij aankomst in het hotel (rond 12:00) werden we vriendelijk onthaald en konden ondanks de vroege aankomst direct onze accommodatie betreden. We hadden een familie  kamer en deze bestond uit twee separate slaapkamers en een living.;4;2013
 5818;Strandhotel Buren aan Zee;Strandweg 85, 9164 KA Buren, Ameland Nederland;9164 KA;Buren, Ameland; 27;Fantastisch!;Mooie locatie in de duinen, dicht bij het strand! Lekker ontbijtbuffet, mooie en schone kamers, zeker niet duur en heel vriendelijk personeel! Bovendien is de hond ook welkom! Echt een fantastisch hotel waar we steeds met plezier maar terug keren!;5;2014
 1816;Hotel Restaurant Ie-Sicht;Hegewarren 1, 9216 XR Oudega Nederland;9216 XR;Oudega;  9;Enorme tegenvaller;Na een lange fietstocht besloten we hier wat te drinken en wellicht wat te eten op het terras. Dit terras is inderdaad prachtig aan het water gelegen. Het terras dat voor 1/3 bezet was maakte een rommelige indruk. Smerige, niet afgeruimde tafels. Aan de minst vieze.;1;2017
 2721;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Feest;We stopten  vlak voor de ingang en dan wordt gewoon je auto geparkeerd, koffers gedragen, vriendelijke ontvangst en de kamers waren prachtig en ruim, schoon en heerlijk stil. Het diner was super lekker en het was een feest om hier als gast te zijn. Veel personeel en allemaal.;5;2019
 3386;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Goed hotel en restaurant in mooi pand;Bij aankomst zeer vriendelijk ontvangen. Wat een mooi gebouw! De kamer op de 2e verdieping was goed. Mooie badkamer. Jammer dat de badhanddoeken niet verschoond werden. De temperatuur was erg warm, de airco kon het niet aan. We hadden het raam open gedaan, maar er was een.;4;2016
 6200;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Goed;Kamer schoon en gezellig   Ik zat in een resort dat bij het hotel was. Leuke zitkamer keuken badkamer en een buiten zitje de bedden waren goed Het is toegankelijk voor rolstoelen  Niet ver van het strand.;5;2016
 6765;Haje Hotel Restaurant Joure;Klokmakkerij 1, 8501 ZS Joure Nederland;8501 ZS;Joure; 47;HH kan met alle anderen evenaren;Verrast en blij was ik met het gehele complex.De ligging is goed, intern zijn de kamers van een plezierig niveau terwijl het reataurant tegen een billijke prijs een goed diner aanbiedt.  Na vele bezoeken bij andere hotels heb ik er weer een toppertje bij.;4;2019
 3457;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;the place to be in Leeuwarden;Zeer vriendelijk en hulpvaardig onthaal. Kamer zeer goed en bedden confortabel. Goede uitrusting (kuisje, grote Tv) van de kamer. Restaurant is dank zij de lokatie zeer mooi . Ontbijt met meer dan voldoende keuze. Diner zeer lekker enkel spijtig dat de bediening iets te traag.;5;2018
11536;Hotel Posthuys Vlieland;Postweg 4, 8899 BZ, Vlieland Nederland;8899 BZ;NA; 14;hulde;Hotel het Posthuys heeft heerlijke lichte en vernieuwde kamers. Fantastische bediening, heerlijk eten (ew hebben van zowel ontbijt als ook diner erg genoten). Prachtige locatie, midden in de natuur: je bent zo aan het ongerepte strand als ook aan de prachtige wetlands van de.;5;2015
 3677;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Misleiding;De kamer beviel ons niet want deze was niet conform hetgeen wij hadden gereserveerd, zie foto's  Een comfort kamer met grote ramen werd een zolderkamer met kleine dakramen. Het was n donkere kamer, we konden niet naar buiten kijken. Na klacht hierover werd geen enkele service.;2;2018
 4055;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Prima hotel en vriendelijk personeel, interieur verouderd;Hebben een nacht geslapen in dit hotel. Zijn met twee personen en baby op bezoek geweest. Aangezien de tweepersoonskamers op dit moment verbouwd werden, werd een family appartement aangeboden met gratis babybedje.  Bij binnenkomst zag alles er keurig uit en we werden vriendelijk.;3;2017
11784;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Sportweekend;Dochter overnacht met een sportmaatje voor een sportevenement. Gewoon goed  Ontbijt was goed en heerlijk relaxed Goede kamer . Verder weinig aan toe te voegen. We boeken dit vaker voor hetzelfde terugkerende sportevenement. Dat zegt genoeg.;4;2016
 1922;Hotel Zeezicht Vlieland;Havenweg 1, 8899 BB, Vlieland Nederland;8899 BB;NA; 41;Weekeinde uitwaaien;"Schoon, netjes en modern.  Vriendelijke werknemers en een goed ontbijt! Aan de haven en het strand. Zou wel voor zeezicht en balkon gaan; dat is veruit het fijnst! Heerlijk genoten van het eiland en de gastvrije inwoners";4;2017
 3417;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Mooie plek en geweldige service.;We hebben hier voor één nacht met de Alma - Tadema tentoonstelling arrangement, hotel, diner in het grand café en toegang tot het museum.  Het personeel is erg vriendelijk, het is absoluut anders dan service in Amsterdam en omgeving. De kamer is ruim, goed uitgerust, bed was.;5;2016
12109;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Zeker een beoek waard.;Het hotel is op een locatie gesitueerd aan de rand van Drachten. Makkelijk de snelweg op. Prettige bediening en behulpzame dames die de kamer netjes maakte. Perfect ontbijt ,ruim aanbod van veel soorten brood, beleg fruit. Zelf verse aardbeien. mooie ruime en schone kamer en.;5;2017
 1606;Hotel Cafe 't Anker;Eewal 73, 8911 GS Leeuwarden Nederland;8911 GS;Leeuwarden; 23;Vriendelijk, dat dan weer wel;Dit hotel bood een mooi arrangement aan ism een tentoonstelling in het Fries museum. Gelegen in het centrum , kan je alles prima te voet bereiken. Groot voordeel is dat je (wel van te voren reserveren) je auto, tegen betaling, kan parkeren in parkeergarage op 5 minuten afstand.;3;2018
 9533;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Een goed hotel in het centrum van Leeuwarden;Ok de inrichting van het hotel is niet meer van deze tijd en kan zeker een update gebruiken, maar de service is vriendelijk en correct. Onze kamer 121 lag aan de binnenkant en keek uit op het dak van het hotel. Hierdoor lekker rustig, echter maakte het kleine raam de kamer erg.;3;2017
13466;Hotel Nobel;Gerrit Kosterweg 16, 9162 EN Ballum, Ameland Nederland;9162 EN;Ballum, Ameland; 19;Mooi hotel , mooie lokatie.;Hotelkamers zijn ruim, suites zonder balkon. Mooi terras Ontbijt heel goed. Restaurant binnen en buiten , is niet te combineren In menu in restaurant geen biefstuk of chateaubriand , wel een tafel ernaast op terras. Weinig flexibel .was dus echt niet mogelijk!;4;2015
 6436;Campanile Leeuwarden;Wergeasterdyk 1, 9084 AS Goutum Nederland;9084 AS;Goutum; 49;Goede prijs /kwaliteit verhouding;Een prima hotel met een prima ligging, dicht bij de stad en goede uitvals basis om door Friesland te fietsen. Kamers zijn prima. Niet heel groot maar wel schoon en prima bed. Geen balkon maar het was schitterend weer en hebben de stoel op de galerij gezet en genoten van de.;4;2015
 4265;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Heerlijk hotel;Het is onze 14e of 15e keer, ontbijt is fantastisch. Helaas vinden wij de bedden te zacht, tot gevolg allebei pijn in rug. Jammer dat er geen koffie en of thee faciliteiten zijn. Mini koelkast zou ook fijn zijn.;5;2014
 7047;Bed and Breakfast - Hotel - Oosterpark Harlingen NL;Jacob Catsstraat 16, 8862 BS Harlingen Nederland;8862 BS;Harlingen;  5;Heerlijk;Perfecte comfortabele lokatie, goede bedden, prima douchegegenheid, een goede televisie waar alle zenders het op deden en een met zorg en aandacht bereid ontbijt. We werden uitgerust wakker voor ons vervolg op Terschelling.;5;2018
 4605;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Hotel met gevangenisarchitectuur;Het hotel ligt fantastisch, aan het strand. De kamers zijn prettig, de badkamers comfortabel. Het personeel is attent. Helaas, het bijgebouw heeft de architectuur van een Amerikaanse gevangenis, heel onprettig binnen en ook heel warm! Geen receptie en overal loze Engelse.;4;2014
 6146;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Extra cadeautje;Dachten we en hotelkamer te krijgen, hebben we een appartement. ..heeeeerlijk, ruim, schoon, van alle gemakken voorzien. Ontbijt en diner zijn redelijk. Goed waar voor je geld.  Fietsverhuur de Jong, leverde fietsen af bij de boot, en bracht onze bagage naar het hotel. Prima.;4;2016
11165;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;rustig en kleinschalig;Vriendelijk en behulpzaam personeel, leuk kleinschalig hotel in een dorp, lekker rustig. De kamer is erg warm, de zon schijnt aan alle kanten erop, er stond wel een ventilator, ondanks dat niet koeler te krijgen. Voor de schoonmaak zijn er wel een paar verbeterpuntjes.;4;2017
 8091;Camping De Domp;Jachthaven De Domp 4, 8605 CP Sneek Nederland;8605 CP;Sneek;NA;Kano onvriendelijke camping!;Maken ze een aanleg steiger voor kano's, leggen ze m vol met jachten. En dan lachend vertellen dat je maar ergens anders heen moet. Wat een aanfluiting! Gelukkig zijn ze bij de Sneeker Jachthaven wel heel behulpzaam en staat onze tent daar nu!;1;2018
